iter	Passed	Remaining
0	56	28302
1	309	77006
2	558	92442
3	633	78542
4	677	67040
5	924	76132
6	1171	82514
7	1296	79752
8	1552	84717
9	1778	87124
10	1834	81560
11	1955	79508
12	2008	75243
13	2054	71315
14	2110	68225
15	2358	71347
16	2481	70497
17	2727	73034
18	2805	71027
19	3054	73318
20	3111	70979
21	3190	69329
22	3444	71425
23	3687	73143
24	3913	74347
25	4036	73582
26	4092	71687
27	4341	73188
28	4584	74453
29	4835	75757
30	5087	76968
31	5166	75557
32	5419	76698
33	5664	77640
34	5925	78724
35	6176	79603
36	6233	78004
37	6471	78684
38	6720	79435
39	6955	79990
40	7200	80613
41	7455	81297
42	7713	81980
43	7961	82505
44	8206	82978
45	8446	83363
46	8493	81866
47	8535	80378
48	8777	80791
49	8833	79503
50	9056	79736
51	9288	80020
52	9539	80457
53	9779	80773
54	10021	81086
55	10269	81420
56	10510	81689
57	10755	81962
58	11000	82227
59	11251	82507
60	11494	82720
61	11733	82892
62	11988	83160
63	12242	83399
64	12487	83568
65	12728	83700
66	12978	83878
67	13203	83884
68	13447	83998
69	13692	84113
70	13935	84200
71	14177	84279
72	14419	84345
73	14660	84394
74	14904	84459
75	15157	84561
76	15398	84591
77	15638	84606
78	15883	84645
79	16138	84725
80	16387	84768
81	16626	84756
82	16870	84756
83	17113	84751
84	17354	84730
85	17603	84744
86	17842	84698
87	18079	84645
88	18332	84657
89	18576	84624
90	18819	84583
91	19064	84548
92	19306	84493
93	19554	84459
94	19810	84456
95	20057	84410
96	20307	84370
97	20560	84339
98	20812	84300
99	21062	84249
100	21313	84198
101	21563	84141
102	21814	84080
103	22059	83995
104	22313	83942
105	22553	83829
106	22796	83730
107	23050	83666
108	23300	83581
109	23543	83470
110	23792	83380
111	24044	83297
112	24292	83197
113	24536	83081
114	24783	82969
115	25025	82843
116	25269	82720
117	25512	82591
118	25762	82481
119	26001	82339
120	26245	82205
121	26490	82076
122	26728	81923
123	26976	81801
124	27224	81674
125	27476	81558
126	27721	81418
127	27967	81279
128	28220	81161
129	28464	81014
130	28711	80874
131	28949	80707
132	29155	80451
133	29417	80350
134	29664	80205
135	29917	80074
136	30156	79904
137	30395	79733
138	30636	79565
139	30879	79404
140	31124	79246
141	31368	79085
142	31606	78906
143	31837	78708
144	32030	78419
145	32221	78127
146	32250	77444
147	32500	77297
148	32543	76662
149	32796	76525
150	33031	76343
151	33277	76188
152	33528	76041
153	33778	75892
154	34025	75733
155	34276	75583
156	34514	75404
157	34761	75242
158	35009	75083
159	35255	74918
160	35503	74754
161	35751	74592
162	36009	74449
163	36259	74287
164	36511	74128
165	36749	73941
166	36985	73749
167	37220	73554
168	37464	73377
169	37714	73210
170	37953	73020
171	38206	72859
172	38448	72674
173	38688	72485
174	38932	72303
175	39185	72136
176	39426	71947
177	39669	71762
178	39912	71575
179	40158	71392
180	40410	71221
181	40659	71042
182	40906	70859
183	41173	70710
184	41416	70519
185	41660	70329
186	41857	70060
187	42088	69849
188	42332	69658
189	42563	69445
190	42794	69232
191	43038	69041
192	43284	68851
193	43524	68652
194	43770	68461
195	44017	68271
196	44259	68073
197	44503	67879
198	44543	67374
199	44790	67185
200	45031	66986
201	45262	66772
202	45506	66578
203	45749	66381
204	45991	66182
205	46249	66007
206	46495	65811
207	46744	65622
208	46994	65432
209	47249	65248
210	47525	65093
211	47778	64906
212	48029	64715
213	48273	64515
214	48524	64323
215	48777	64133
216	49030	63943
217	49282	63751
218	49533	63556
219	49782	63359
220	50037	63169
221	50278	62961
222	50522	62756
223	50758	62541
224	51009	62344
225	51258	62144
226	51503	61939
227	51548	61496
228	51791	61290
229	51817	60828
230	52057	60620
231	52300	60415
232	52541	60208
233	52784	60003
234	53033	59803
235	53276	59597
236	53518	59389
237	53761	59183
238	54006	58977
239	54244	58764
240	54487	58557
241	54722	58340
242	54965	58132
243	55208	57923
244	55445	57708
245	55688	57499
246	55931	57290
247	56180	57086
248	56422	56876
249	56674	56674
250	56917	56464
251	57173	56266
252	57420	56059
253	57666	55849
254	57916	55645
255	58159	55433
256	58406	55224
257	58663	55025
258	58914	54819
259	59149	54599
260	59391	54385
261	59636	54173
262	59877	53957
263	60132	53755
264	60377	53542
265	60616	53324
266	60847	53099
267	61093	52886
268	61342	52676
269	61585	52461
270	61829	52247
271	62085	52042
272	62326	51824
273	62578	51615
274	62818	51396
275	63061	51180
276	63304	50963
277	63558	50755
278	63805	50540
279	64048	50323
280	64299	50112
281	64549	49899
282	64797	49686
283	65039	49466
284	65293	49256
285	65544	49043
286	65801	48835
287	66043	48615
288	66267	48382
289	66511	48163
290	66713	47914
291	66924	47672
292	67161	47448
293	67410	47233
294	67654	47013
295	67891	46790
296	68147	46578
297	68399	46364
298	68634	46138
299	68877	45918
300	69122	45698
301	69372	45482
302	69614	45260
303	69855	45038
304	70105	44821
305	70352	44602
306	70600	44384
307	70846	44164
308	71091	43943
309	71335	43721
310	71359	43366
311	71607	43148
312	71844	42923
313	72095	42706
314	72330	42479
315	72572	42257
316	72826	42041
317	72882	41712
318	73128	41492
319	73378	41275
320	73622	41054
321	73870	40835
322	74117	40615
323	74364	40395
324	74616	40178
325	74670	39854
326	74919	39636
327	75175	39421
328	75438	39209
329	75682	38988
330	75921	38763
331	76170	38544
332	76409	38319
333	76530	38036
334	76771	37812
335	77018	37592
336	77257	37367
337	77508	37149
338	77757	36929
339	77995	36703
340	78244	36483
341	78492	36262
342	78728	36035
343	78972	35813
344	79209	35586
345	79456	35364
346	79702	35142
347	79746	34831
348	79766	34512
349	80041	34303
350	80287	34082
351	80531	33859
352	80756	33629
353	81016	33413
354	81262	33191
355	81505	32968
356	81748	32745
357	81997	32523
358	82238	32299
359	82483	32077
360	82735	31856
361	82976	31632
362	83225	31409
363	83471	31187
364	83720	30964
365	83974	30744
366	84219	30520
367	84460	30295
368	84717	30075
369	84957	29849
370	85215	29630
371	85466	29407
372	85742	29193
373	86004	28974
374	86259	28753
375	86508	28529
376	86749	28302
377	87001	28079
378	87252	27856
379	87500	27631
380	87745	27406
381	87992	27180
382	88251	26959
383	88503	26735
384	88759	26512
385	89016	26289
386	89266	26064
387	89519	25840
388	89763	25613
389	90012	25388
390	90055	25104
391	90301	24878
392	90568	24658
393	90816	24432
394	91082	24211
395	91340	23988
396	91596	23764
397	91861	23542
398	92104	23314
399	92347	23086
400	92590	22858
401	92841	22632
402	93093	22407
403	93338	22179
404	93600	21955
405	93796	21716
406	94031	21486
407	94278	21258
408	94526	21031
409	94781	20805
410	95026	20577
411	95267	20348
412	95518	20121
413	95773	19895
414	96035	19669
415	96298	19444
416	96552	19217
417	96579	18946
418	96846	18722
419	97045	18484
420	97219	18243
421	97479	18017
422	97718	17787
423	97972	17561
424	98224	17333
425	98470	17105
426	98727	16878
427	98972	16649
428	99213	16419
429	99464	16191
430	99704	15961
431	99921	15728
432	100121	15492
433	100146	15229
434	100398	15002
435	100654	14775
436	100899	14546
437	101141	14316
438	101163	14056
439	101413	13829
440	101656	13600
441	101902	13371
442	102152	13143
443	102400	12915
444	102652	12687
445	102896	12458
446	103145	12229
447	103388	12000
448	103636	11771
449	103878	11542
450	104121	11312
451	104365	11083
452	104608	10853
453	104852	10623
454	105096	10394
455	105342	10164
456	105596	9935
457	105868	9708
458	106122	9479
459	106382	9250
460	106634	9021
461	106881	8791
462	106905	8543
463	107155	8313
464	107404	8084
465	107624	7852
466	107877	7623
467	108129	7393
468	108389	7164
469	108656	6935
470	108931	6707
471	109190	6477
472	109433	6246
473	109675	6015
474	109920	5785
475	110179	5555
476	110424	5324
477	110484	5085
478	110732	4854
479	110981	4624
480	111222	4393
481	111470	4162
482	111720	3932
483	111970	3701
484	112213	3470
485	112470	3239
486	112711	3008
487	112968	2777
488	113218	2546
489	113462	2315
490	113706	2084
491	113953	1852
492	114203	1621
493	114453	1390
494	114699	1158
495	114933	926
496	115177	695
497	115439	463
498	115682	231
499	115924	0
